Plot,Total,Dead,Ash,Buckthorn,Blackcherry,Boxelder,Americanelm,Redoak,Whiteoak,Redpine,Whitepine,Otherbroadleaf,Otherneedles,AGB,BA,DBH,Ht,CL,CW,C,C_sd,Cellulose,Cellulose_sd,Fiber,Fiber_sd,Lig,Lig_sd,LMA,LMA_sd,N,N_sd,NDVI,NDVI_sd,PRI,PRI_sd,NDWI,NDWI_sd,NDII,NDII_sd
MV49,42.67,0.67,0.00,0.00,2.69,2.01,0.00,0.00,0.00,33.32,2.01,2.01,0.00,153.11,40.43,37.75,24.57,7.49,5.47,49.72,0.56,17.70,1.59,43.10,3.90,26.42,2.81,179.93,16.48,1.79,0.22,0.92,0.01,-0.04,0.01,0.20,0.01,0.56,0.01
MV50,35.33,0.67,0.00,2.65,0.00,0.00,0.00,0.00,0.00,16.68,14.66,0.67,0.00,159.98,30.79,38.95,25.14,14.89,8.41,49.40,0.38,17.28,1.04,40.19,2.56,24.24,1.81,147.31,9.91,1.84,0.13,0.89,0.01,-0.04,0.01,0.17,0.02,0.50,0.03
MV55,47.33,0.00,1.33,0.00,7.34,0.00,0.66,24.00,0.00,0.00,0.00,14.01,0.00,179.40,25.28,49.46,25.17,17.57,9.30,48.58,0.50,15.24,1.46,32.91,3.67,21.44,2.48,84.50,13.76,3.12,0.19,0.94,0.00,-0.04,0.01,0.17,0.01,0.49,0.01
MV56,48.00,3.33,0.67,0.00,14.02,0.00,0.00,3.98,0.00,0.00,0.00,26.02,0.00,213.34,24.13,43.04,23.22,17.13,15.49,48.58,0.63,14.51,1.92,32.31,4.56,21.18,3.19,84.01,19.89,3.52,0.26,0.93,0.01,-0.05,0.00,0.18,0.01,0.50,0.01
MV57,26.00,1.33,1.33,0.00,8.01,0.00,1.33,2.00,0.00,0.00,0.00,12.01,0.00,186.64,26.30,40.81,22.28,15.57,12.94,48.64,0.51,15.87,1.38,34.74,3.46,22.46,2.35,82.48,13.72,3.05,0.18,0.94,0.00,-0.05,0.01,0.18,0.01,0.49,0.02
MV58,42.67,0.00,2.69,0.00,2.01,1.32,0.00,23.34,0.00,0.00,0.00,13.35,0.00,152.58,28.53,43.48,24.36,16.95,6.11,48.73,0.49,15.58,1.38,33.63,3.52,21.66,2.35,81.96,13.28,3.09,0.19,0.94,0.00,-0.04,0.01,0.18,0.00,0.50,0.00
MV59,36.00,1.33,0.00,0.00,4.00,0.68,1.33,14.65,0.00,0.00,0.00,14.04,0.00,176.44,30.45,43.35,24.47,16.19,9.39,49.00,0.45,15.57,1.32,34.78,3.34,21.89,2.32,90.68,12.69,2.96,0.17,0.92,0.00,-0.05,0.01,0.15,0.01,0.46,0.01
MV60,26.00,3.33,0.68,0.00,0.00,0.00,0.00,0.00,1.33,0.00,0.00,19.99,0.68,242.62,23.03,64.17,29.17,27.67,13.07,48.77,0.44,14.07,1.40,32.14,3.38,19.53,2.40,87.60,13.03,2.62,0.16,0.92,0.00,-0.05,0.01,0.17,0.01,0.46,0.01
MV61,31.33,1.33,2.01,0.00,0.00,0.00,0.00,0.66,0.66,0.00,0.66,24.69,1.35,264.47,25.00,58.32,28.29,23.04,13.87,48.76,0.46,14.52,1.37,32.31,3.32,20.14,2.36,88.98,13.64,2.89,0.18,0.93,0.00,-0.05,0.01,0.16,0.02,0.47,0.02
MV62,24.67,4.00,0.67,0.00,0.67,0.00,0.00,4.00,11.32,0.00,0.00,3.33,0.67,199.92,28.00,46.74,25.04,16.59,11.36,48.61,0.58,14.88,1.62,32.81,4.08,21.06,2.91,93.35,17.07,2.79,0.22,0.93,0.00,-0.05,0.01,0.16,0.01,0.48,0.01
MV63,20.67,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.66,0.00,194.65,21.66,47.43,24.65,19.45,12.68,48.24,0.63,15.14,1.73,31.57,4.46,20.67,3.01,85.16,17.11,2.94,0.23,0.94,0.00,-0.05,0.01,0.20,0.01,0.53,0.01
MV64,28.00,10.00,0.00,1.99,0.00,0.00,1.34,0.00,0.00,0.00,0.00,14.67,0.00,135.58,21.04,34.15,18.53,13.49,12.06,48.67,0.46,16.14,1.15,36.28,2.95,23.27,2.03,96.58,11.43,2.84,0.15,0.93,0.00,-0.06,0.01,0.16,0.01,0.46,0.02
MV65,27.33,0.00,0.00,0.00,0.66,0.00,0.00,3.99,14.68,0.00,0.00,4.67,3.33,151.78,24.73,33.65,18.09,12.75,12.81,48.85,0.46,14.81,1.30,31.64,3.38,19.96,2.34,74.13,13.60,3.17,0.18,0.94,0.00,-0.05,0.01,0.16,0.01,0.48,0.01
MV66,28.67,0.67,1.35,0.00,2.01,0.00,0.00,0.00,2.01,0.00,4.01,18.66,0.00,167.53,25.50,40.61,22.54,15.79,11.94,48.55,0.53,15.59,1.44,33.69,3.68,21.70,2.54,96.07,14.57,2.67,0.19,0.93,0.00,-0.06,0.01,0.19,0.03,0.50,0.03
MV67,27.33,1.33,0.00,0.66,0.00,2.68,0.00,0.00,0.00,0.00,0.00,22.66,0.00,197.74,19.29,52.38,25.75,22.51,13.60,48.15,0.68,14.61,1.98,29.04,4.98,17.85,3.42,81.11,19.43,2.85,0.26,0.93,0.02,-0.06,0.01,0.21,0.02,0.52,0.02
MV68,41.33,4.00,0.00,0.66,4.67,0.00,0.66,0.00,0.00,1.98,29.35,0.00,0.00,198.05,36.44,40.16,24.96,10.27,10.18,49.43,0.38,16.90,1.04,39.63,2.56,24.23,1.81,142.08,9.80,2.08,0.13,0.92,0.00,-0.04,0.01,0.18,0.00,0.51,0.01
MV69,25.33,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,4.66,0.66,2.00,14.01,152.64,28.22,30.33,19.71,11.61,11.25,48.63,0.50,16.39,1.35,35.15,3.23,21.85,2.29,108.76,13.02,2.59,0.17,0.92,0.01,-0.05,0.01,0.18,0.01,0.49,0.01
MV70,20.67,1.33,2.67,0.00,1.34,0.66,0.00,4.01,0.66,0.00,0.00,9.98,0.00,160.38,26.37,35.24,21.90,13.94,11.94,48.06,0.59,14.27,1.70,30.49,4.34,19.08,2.91,79.48,16.61,3.08,0.22,0.93,0.01,-0.06,0.01,0.18,0.02,0.50,0.02
MV71,46.00,4.67,0.00,0.64,0.64,9.34,0.00,0.00,0.00,0.00,0.00,30.68,0.00,185.02,28.46,39.56,24.36,16.20,17.99,48.45,0.57,15.39,1.62,32.36,4.03,19.06,2.79,70.33,14.95,3.15,0.20,0.94,0.01,-0.02,0.01,0.18,0.00,0.50,0.01
